Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Month,Order Year,YearMonth,Month,OrderMonth,CohortMonth,CohortIndex
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,0.720864486402392,2,-0.8717537112056045,0.8765668985316587,11,2016,2016-11,11,2016-11-01,2015-10-01,14
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2.124750161300531,3,-0.8717537112056045,1.8568369411052081,11,2016,2016-11,11,2016-11-01,2015-10-01,14
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,-0.7444563678378308,2,-0.8717537112056045,-0.31190807137645177,6,2016,2016-06,6,2016-06-01,2016-06-01,1
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2.124750161300531,5,1.9822657294287203,-1.8922202427648809,10,2015,2015-10,10,2015-10-01,2015-10-01,1
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,-0.6985547507170528,2,0.39669937352076207,-0.4596102274611103,10,2015,2015-10,10,2015-10-01,2015-10-01,1
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",-0.541607713963871,7,-0.8717537112056045,-0.06439249500312509,6,2014,2014-06,6,2014-06-01,2014-06-01,1
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,-0.7879408631484285,4,-0.8717537112056045,-0.47829090428577853,6,2014,2014-06,6,2014-06-01,2014-06-01,1
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,2.124750161300531,6,0.39669937352076207,1.8568369411052081,6,2014,2014-06,6,2014-06-01,2014-06-01,1
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,-0.7214463160958197,3,0.39669937352076207,-0.34883869772790643,6,2014,2014-06,6,2014-06-01,2014-06-01,1
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,-0.1503657425317357,5,-0.8717537112056045,0.6241132202235612,6,2014,2014-06,6,2014-06-01,2014-06-01,1
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,2.124750161300531,9,0.39669937352076207,1.8568369411052081,6,2014,2014-06,6,2014-06-01,2014-06-01,1
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,2.124750161300531,4,0.39669937352076207,1.7734021806850095,6,2014,2014-06,6,2014-06-01,2014-06-01,1
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,-0.7389349033106541,3,0.39669937352076207,-0.3603462388437559,4,2017,2017-04,4,2017-04-01,2014-05-01,36
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,1.5859097271751759,3,0.39669937352076207,1.8568369411052081,12,2016,2016-12,12,2016-12-01,2014-12-01,25
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-0.42341756662784585,5,2.299379000610312,-1.8922202427648809,11,2015,2015-11,11,2015-11-01,2014-05-01,19
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,-0.8159984339646397,3,2.299379000610312,-0.6743769629813151,11,2015,2015-11,11,2015-11-01,2014-05-01,19
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2.124750161300531,6,-0.8717537112056045,-0.09328174794294415,11,2014,2014-11,11,2014-11-01,2014-11-01,1
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,-0.502270241366818,2,-0.8717537112056045,-0.20613908309502446,5,2014,2014-05,5,2014-05-01,2014-05-01,1
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,-0.7803577359008038,2,-0.8717537112056045,-0.4607633556601639,8,2014,2014-08,8,2014-08-01,2014-08-01,1
